ID,TeachingText,NormalizedText,SourceActivity,AudioDisposition,ResolvedAudioPath,Reason,QAStatus
"black-ball","Black ball.","black ball","35-colour-balls:review:ball-black (reviewItem)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/black-ball.mp3","","RESOLVED"
"white-ball","White ball.","white ball","35-colour-balls:review:ball-white (reviewItem)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/white-ball.mp3","","RESOLVED"
"brown-ball","Brown ball.","brown ball","35-colour-balls:review:ball-brown (reviewItem)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/brown-ball.mp3","","RESOLVED"
"find-the-red-ball","Find the red ball.","find the red ball","36-find-red-ball (listenChoose); 53g-find-red-ball (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/find-the-red-ball.mp3","","RESOLVED"
"touch-the-blue-ball","Touch the blue ball.","touch the blue ball","37-touch-blue-ball (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/touch-the-blue-ball.mp3","","RESOLVED"
"point-to-the-yellow-ball","Point to the yellow ball.","point to the yellow ball","38-point-yellow-ball (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/point-to-the-yellow-ball.mp3","","RESOLVED"
"find-the-purple-ball","Find the purple ball.","find the purple ball","39-find-purple-ball (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/find-the-purple-ball.mp3","","RESOLVED"
"a-red-ball","A red ball.","a red ball","40-colour-and-object:review:ball-red (reviewItem); 46c-a-red-ball (learn)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/a-red-ball.mp3","","RESOLVED"
"a-blue-pencil","A blue pencil.","a blue pencil","40-colour-and-object:review:pencil-blue (reviewItem)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/a-blue-pencil.mp3","","RESOLVED"
"a-yellow-star","A yellow star.","a yellow star","40-colour-and-object:review:star-yellow (reviewItem)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/a-yellow-star.mp3","","RESOLVED"
"a-green-apple","A green apple.","a green apple","40-colour-and-object:review:apple-green (reviewItem)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/a-green-apple.mp3","","RESOLVED"
"a-pink-bag","A pink bag.","a pink bag","40-colour-and-object:review:bag-pink (reviewItem)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/a-pink-bag.mp3","","RESOLVED"
"find-the-blue-pencil","Find the blue pencil.","find the blue pencil","41-find-blue-pencil (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/find-the-blue-pencil.mp3","","RESOLVED"
"touch-the-green-apple","Touch the green apple.","touch the green apple","42-touch-green-apple (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/touch-the-green-apple.mp3","","RESOLVED"
"point-to-the-yellow-star","Point to the yellow star.","point to the yellow star","43-point-yellow-star (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/point-to-the-yellow-star.mp3","","RESOLVED"
"what-colour-is-the-ball-it-s-red","What colour is the ball? It's red.","what colour is the ball it's red","44-ball-question (speakPrompt)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/what-colour-is-the-ball-it-s-red.mp3","","RESOLVED"
"what-colour-is-the-bag-it-s-pink","What colour is the bag? It's pink.","what colour is the bag it's pink","45-bag-question (speakPrompt)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/what-colour-is-the-bag-it-s-pink.mp3","","RESOLVED"
"it-s-a-red-ball","It's a red ball.","it's a red ball","46d-its-a-red-ball (speakPrompt)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/it-s-a-red-ball.mp3","","RESOLVED"
"find-something-red","Find something red.","find something red","47a-find-red (actionPrompt)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/find-something-red.mp3","","RESOLVED"
"touch-something-blue","Touch something blue.","touch something blue","47b-touch-blue (actionPrompt)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/touch-something-blue.mp3","","RESOLVED"
"show-me-something-green","Show me something green.","show me something green","47c-show-green (actionPrompt)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/show-me-something-green.mp3","","RESOLVED"
"find-something-black","Find something black.","find something black","47d-find-black (actionPrompt); 52f-find-black (actionPrompt)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/find-something-black.mp3","","RESOLVED"
"which-one-is-the-same-colour-as-the-red-ball","Which one is the same colour as the red ball?","which one is the same colour as the red ball","48a-same-colour (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/which-one-is-the-same-colour-as-the-red-ball.mp3","","RESOLVED"
"which-one-is-different","Which one is different?","which one is different","48b-different (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/which-one-is-different.mp3","","RESOLVED"
"which-one-belongs-with-the-red-things","Which one belongs with the red things?","which one belongs with the red things","48c-red-things (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/which-one-belongs-with-the-red-things.mp3","","RESOLVED"
"red","red","red","49a-read-red (tapChoice)","INTENTIONALLY_SILENT","","Early reading comprehension — audio would reveal the answer.","SILENT_BY_DESIGN"
"blue-ball","blue ball","blue ball","49b-read-blue-ball (tapChoice)","INTENTIONALLY_SILENT","","Early reading comprehension — audio would reveal the answer.","SILENT_BY_DESIGN"
"the-ball-is-blue","The ball is blue.","the ball is blue","49c-read-sentence (tapChoice)","INTENTIONALLY_SILENT","","Early reading comprehension — audio would reveal the answer.","SILENT_BY_DESIGN"
"which-one-starts-with-the-b-sound","Which one starts with the b sound?","which one starts with the b sound","49d-phonics-b (tapChoice); 49e-phonics-b-two (tapChoice)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/which-one-starts-with-the-b-sound.mp3","SPECIAL_PHONICS_REVIEW — human listener must confirm the target /b/ sound.","RESOLVED"
"write-red","Write red.","write red","50-write-red (writingPrompt)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/write-red.mp3","","RESOLVED"
"write-blue","Write blue.","write blue","51-write-blue (writingPrompt)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/write-blue.mp3","","RESOLVED"
"touch-red","Touch red.","touch red","52a-touch-red (actionPrompt)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/touch-red.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
"touch-the-red-ball","Touch the red ball.","touch the red ball","52c-touch-red-ball (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/touch-the-red-ball.mp3","","RESOLVED"
"point-to-the-blue-pencil","Point to the blue pencil.","point to the blue pencil","52d-point-blue-pencil (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/point-to-the-blue-pencil.mp3","","RESOLVED"
"show-me-the-green-apple","Show me the green apple.","show me the green apple","52e-show-green-apple (listenChoose)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/show-me-the-green-apple.mp3","","RESOLVED"
"touch-the-red-ball-and-point-to-the-blue-pencil","Touch the red ball and point to the blue pencil.","touch the red ball and point to the blue pencil","52g-two-step (actionPrompt)","APPROVED_LESSON_02","assets/audio/lesson-02/mp3/touch-the-red-ball-and-point-to-the-blue-pencil.mp3","","RESOLVED"
"goodbye","Goodbye!","goodbye","53h-goodbye (speakPrompt)","REUSE_LESSON_01","assets/audio/lesson-01/mp3/goodbye.mp3","Normalized text matches Lesson 1 approved registry.","RESOLVED"
