"ID","TeachingText","Mp3File","Source","ReusedFrom","Provider","Model","Voice","Locale","ApprovalStatus","RuntimeUsage"
"17","17","17.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","4/05-bonus-numbers/review-7"
"18","18","18.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","4/05-bonus-numbers/review-8"
"19","19","19.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","4/05-bonus-numbers/review-9"
"20","20","20.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","4/05-bonus-numbers/review-10"
"how-many-apples","How many apples?","how-many-apples.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","5/06-how-many"
"how-many-bananas","How many bananas?","how-many-bananas.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","6/07-count-fruit"
"how-many-crayons","How many crayons?","how-many-crayons.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","7/08-count-school"
"how-many-balls","How many balls?","how-many-balls.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","8/09-count-toys"
"one-apple-two-apples-one-pencil-three-pencils","One apple. Two apples. One pencil. Three pencils.","one-apple-two-apples-one-pencil-three-pencils.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","9/10-one-or-many"
"one-apple","One apple.","one-apple.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","9/10-one-or-many/review-1"
"two-apples","Two apples.","two-apples.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","9/10-one-or-many/review-2"
"one-pencil","One pencil.","one-pencil.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","9/10-one-or-many/review-3"
"three-pencils","Three pencils.","three-pencils.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","9/10-one-or-many/review-4"
"how-many-books-can-you-see","How many books can you see?","how-many-books-can-you-see.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","10/11-mixed-count"
"two-red-apples-three-blue-pencils-one-yellow-ball-four-green-books","Two red apples. Three blue pencils. One yellow ball. Four green books.","two-red-apples-three-blue-pencils-one-yellow-ball-four-green-books.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","11/12-number-colour-object"
"two-red-apples","Two red apples.","two-red-apples.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","11/12-number-colour-object/review-1 | 13/14-build-phrase"
"three-blue-pencils","Three blue pencils.","three-blue-pencils.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","11/12-number-colour-object/review-2"
"one-yellow-ball","One yellow ball.","one-yellow-ball.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","11/12-number-colour-object/review-3"
"four-green-books","Four green books.","four-green-books.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","11/12-number-colour-object/review-4"
"show-me-two-red-apples","Show me two red apples.","show-me-two-red-apples.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","12/13-listen-choose"
"what-can-you-see","What can you see?","what-can-you-see.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","14/15-speak-phrase"
"two-red-apples-one-notebook-three-blue-pencils-two-cookies","Two red apples. One notebook. Three blue pencils. Two cookies.","two-red-apples-one-notebook-three-blue-pencils-two-cookies.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","15/16-mia-list"
"put-two-red-apples-one-notebook-and-three-blue-pencils-in-the-basket","Put two red apples, one notebook and three blue pencils in the basket.","put-two-red-apples-one-notebook-and-three-blue-pencils-in-the-basket.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","16/17-basket"
"i-want-two-apples-please","I want two apples, please.","i-want-two-apples-please.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","17/18-i-want"
"hello-what-would-you-like","Hello! What would you like?","hello-what-would-you-like.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","18/19-fruit-shop"
"what-would-you-like","What would you like?","what-would-you-like.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","19/20-fruit-shop-challenge | 33/34-interview/34b-want"
"i-want-three-crayons-please","I want three crayons, please.","i-want-three-crayons-please.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","20/21-school-shop"
"two-red-pencils-please","Two red pencils, please.","two-red-pencils-please.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","21/22-role-swap"
"how-much-is-the-book-it-s-three-euros-now-touch-three-euros","How much is the book? It's three euros. Now touch three euros.","how-much-is-the-book-it-s-three-euros-now-touch-three-euros.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","22/23-how-much"
"how-much-is-the-ball-it-s-four-euros-now-touch-four-euros","How much is the ball? It's four euros. Now touch four euros.","how-much-is-the-ball-it-s-four-euros-now-touch-four-euros.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","23/24-listen-price"
"five-euros-please","Five euros, please.","five-euros-please.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","24/25-pay-money | 32/33-final-shopping/33b-pay"
"two-euros-fifty","Two euros fifty.","two-euros-fifty.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","25/26-star-price"
"which-group-has-more","Which group has more?","which-group-has-more.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","26/27-more-less | 33/34-interview/34d-more"
"which-groups-have-the-same-number","Which groups have the same number?","which-groups-have-the-same-number.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","27/28-same"
"there-are-two-apples-one-more-apple-how-many-apples-now","There are two apples. One more apple. How many apples now?","there-are-two-apples-one-more-apple-how-many-apples-now.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","28/29-one-more"
"how-many-cookies-did-you-see","How many cookies did you see?","how-many-cookies-did-you-see.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","30/31-memory-shop"
"give-tom-one-green-book-and-mia-two-cookies","Give Tom one green book and Mia two cookies.","give-tom-one-green-book-and-mia-two-cookies.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","31/32-give-me"
"i-want-two-red-apples-and-three-blue-pencils-please-put-two-red-apples-and-three-blue-penc","I want two red apples and three blue pencils, please. Put two red apples and three blue pencils in the basket.","i-want-two-red-apples-and-three-blue-pencils-please-put-two-red-apples-and-three-blue-penc.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","32/33-final-shopping/33a-basket"
"here-you-are-thank-you","Here you are. Thank you.","here-you-are-thank-you.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","32/33-final-shopping/33c-thanks"
"how-many-apples-can-you-see","How many apples can you see?","how-many-apples-can-you-see.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","33/34-interview/34a-count"
"how-much-is-the-book","How much is the book?","how-much-is-the-book.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","33/34-interview/34c-price"
"can-you-give-me-three-pencils","Can you give me three pencils?","can-you-give-me-three-pencils.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","33/34-interview/34e-give"
"great-work-today-you-counted-shopped-and-used-numbers-in-english-goodbye","Great work! Today you counted, shopped and used numbers in English. Goodbye!","great-work-today-you-counted-shopped-and-used-numbers-in-english-goodbye.mp3","GENERATED_LESSON_03","","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","RC_PENDING_HUMAN_REVIEW","33/34-interview/34f-goodbye"
"show-me-red","Show me red.","show-me-red.mp3","REUSED_APPROVED","assets/audio/lesson-01/mp3/show-me-red.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","REUSED_APPROVED","2/03-colour-flash"
"blue-ball","Blue ball.","blue-ball.mp3","REUSED_APPROVED","assets/audio/lesson-02/mp3/blue-ball.mp3","Google Cloud Text-to-Speech / Gemini TTS","gemini-2.5-flash-tts","Kore","en-GB","REUSED_APPROVED","2/03-colour-flash/review-2"
